time,step_1,step_2,step_3,step_4,step_5,
0.00484014,1,4,6,6,3,5,
0.00486014,1,4,6,6,3,5,
0.00488014,1,4,6,6,3,5,
0.00490014,1,4,6,6,3,5,
0.00492014,1,4,6,6,3,5,
0.00494014,1,4,6,6,3,5,
0.00496014,1,4,6,6,3,5,
0.00498014,1,4,6,6,3,5,
0.00500014,1,4,6,6,3,5,
0.00502014,1,4,6,6,3,5,
0.00504014,1,4,6,6,3,5,
0.00505014,1,4,6,6,3,2,
0.00506014,1,4,6,6,3,2,
0.00508014,1,4,6,6,3,2,
0.00510014,1,4,6,6,3,2,
0.00512014,1,4,6,6,6,6,
0.00512014,1,4,6,6,6,6,
0.00514014,1,6,6,6,6,6,
0.00514028,1,6,6,6,6,6,
0.00516014,1,6,6,6,6,6,
0.00518014,1,6,6,6,6,6,
0.00520014,1,6,6,6,6,6,
0.00522014,1,6,6,6,6,6,
0.00524014,1,6,6,6,6,6,
0.00526014,1,6,6,6,6,6,
0.00528014,1,6,6,6,6,6,
0.00530014,1,6,6,6,6,6,
0.00532014,1,6,6,6,6,6,
0.00534014,1,6,6,6,6,3,
0.00534014,1,6,6,6,6,3,
0.00536014,2,6,6,6,6,3,
0.00538014,2,6,6,6,6,3,
0.00540014,2,6,6,6,6,3,
0.00542014,2,6,6,6,6,3,
0.00544014,2,6,6,6,6,3,
0.00546014,2,6,6,6,6,3,
0.00548014,2,6,6,6,6,3,
0.00550014,2,6,3,6,6,3,
0.00552014,2,6,3,6,6,3,
0.00554014,2,6,3,6,6,3,
0.00556014,2,6,3,6,6,3,
0.00558014,2,6,3,6,6,3,
0.00560014,2,6,3,6,6,3,
0.00560014,2,6,3,6,6,3,
0.00562014,2,6,3,6,6,3,
0.00564014,2,6,3,6,6,3,
0.00566014,2,6,3,6,6,3,
0.00568014,2,6,3,6,6,3,
0.00570014,2,6,3,6,6,3,
0.00572014,2,6,3,6,6,3,
0.00573014,2,6,3,3,6,3,
0.00574014,2,6,3,3,6,4,
0.00574028,2,6,3,3,6,4,
0.00576014,2,6,3,3,6,4,
0.00578014,2,6,3,3,6,4,
0.00579014,2,6,5,3,6,4,
0.00580014,2,6,5,3,6,4,
0.00582014,2,6,5,3,6,4,
0.00584014,2,6,5,3,6,4,
0.00586014,2,6,5,3,6,4,
0.00587014,2,6,2,3,6,4,
0.00588014,2,6,2,3,6,4,
0.00590014,2,6,2,3,6,4,
0.00592014,2,6,2,3,6,4,
0.00593014,2,3,2,3,6,4,
0.00594014,2,3,2,3,6,4,
0.00596014,2,3,2,3,6,4,
0.00597014,2,3,2,3,6,6,
0.00598014,2,3,2,3,6,6,
0.00600014,2,3,2,3,6,6,
0.00602014,2,3,2,3,6,6,
0.00604014,2,3,2,3,6,2,
0.00606014,2,3,2,3,6,2,
0.00608014,2,3,2,3,6,2,
0.00610014,2,3,2,3,4,2,
0.00612014,2,3,2,3,4,2,
0.00614014,2,3,2,3,4,2,
0.00616014,2,3,2,3,4,2,
0.00618014,2,3,2,3,4,3,
0.00620014,2,3,2,3,4,3,
0.00622014,2,3,2,3,4,3,
0.00624014,2,3,2,3,4,3,
0.00626014,2,3,2,3,4,3,
0.00628014,2,3,2,3,4,3,
0.00630014,2,3,2,3,4,3,
0.00632014,2,3,2,3,4,3,
0.00634014,2,3,2,3,4,3,
0.00636014,2,3,2,5,4,3,
0.00636014,2,3,2,5,4,3,
0.00638014,2,3,2,5,4,3,
0.00640014,2,3,2,5,4,3,
0.00642014,2,3,2,5,4,3,
0.00644014,2,3,2,5,4,3,
0.00646014,2,3,2,5,4,3,
0.00648014,2,3,2,5,4,3,
0.00650014,2,3,2,5,4,3,
0.00652014,2,3,2,5,4,3,
0.00654014,2,3,2,5,4,3,
0.00656014,2,3,2,5,3,3,
0.00658014,2,3,2,5,3,3,
0.00660014,2,3,2,5,3,3,
0.00662014,2,3,2,5,3,4,
0.00664014,2,3,2,5,3,4,
0.00666014,2,3,2,5,3,4,
0.00668014,2,3,2,5,3,4,
0.00670014,2,3,2,5,3,4,
0.00672014,2,3,2,5,3,2,
0.00674014,2,3,2,5,3,2,
0.00676014,2,3,2,5,3,2,
0.00678014,2,3,2,5,3,2,
0.00680014,2,3,2,5,3,2,
0.00682014,2,3,2,5,3,2,
0.00684014,2,3,2,5,3,2,
0.00686014,2,3,2,5,3,2,
0.00688014,2,3,2,5,3,2,
0.00690014,2,2,2,5,3,2,
0.00692014,2,2,2,5,3,2,
0.00694014,2,2,2,5,3,2,
0.00696014,6,2,3,5,3,2,
0.00696014,6,2,3,5,3,2,
0.00698014,6,2,3,5,3,2,
0.00700014,6,2,3,5,3,2,
0.00702014,6,2,3,5,3,2,
0.00704014,6,2,3,5,3,2,
0.00706014,6,2,3,5,3,2,
0.00708014,6,2,3,5,3,2,
0.00710014,6,2,3,5,3,2,
0.00711014,6,2,3,4,3,2,
0.00712014,6,2,3,4,3,2,
0.00714014,6,2,5,4,3,2,
0.00716014,6,2,5,4,3,2,
0.00718014,6,2,5,4,3,2,
0.00720014,6,2,5,4,3,2,
0.00722014,6,2,5,4,3,2,
0.00724014,6,2,5,4,3,2,
0.00726014,6,2,5,4,3,2,
0.00728014,6,2,5,4,3,2,
0.00730014,6,2,5,4,3,2,
