time,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,
9.00381,1,19,15,0,0,4,0,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00384,1,19,15,0,0,4,0,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00387,1,19,15,0,0,4,0,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.0039,1,19,15,0,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00393,1,19,15,0,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00396,1,19,15,0,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00397,0,19,15,5,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00399,1,19,15,5,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00402,1,19,15,5,0,4,0,0,0,18,23,12,0,0,0,14,7,24,9,11,0,21,0,0,0,3,
9.00404,0,19,15,5,0,4,0,0,0,18,23,12,20,0,0,14,7,0,9,11,0,21,0,0,0,3,
9.00405,1,19,15,5,0,4,0,0,0,18,23,12,20,0,0,0,7,0,9,11,0,21,0,0,0,3,
9.00408,1,19,15,5,0,4,0,0,0,18,23,12,20,0,0,0,7,0,9,11,0,21,0,0,0,3,
9.00411,1,19,15,5,0,4,0,0,0,18,23,12,20,0,0,0,7,0,9,11,0,21,0,0,0,3,
9.00414,1,19,15,5,0,4,0,0,0,18,23,12,20,0,0,0,7,0,9,11,0,21,0,0,0,3,
9.00417,0,19,15,5,0,4,0,0,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00417,1,19,15,5,0,4,0,0,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.0042,1,19,15,5,0,4,0,0,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00423,1,19,15,5,0,4,0,0,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00426,1,19,15,5,0,4,0,0,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00428,0,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00429,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00432,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00435,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,0,0,0,3,
9.00436,0,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00438,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00441,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00444,1,19,15,5,0,4,0,13,0,18,23,12,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00447,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.0045,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00453,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00456,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00459,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00462,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00465,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00468,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00471,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00474,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00477,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.0048,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00483,1,0,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00484,0,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00486,1,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00489,1,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00492,1,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,7,0,9,11,0,21,25,0,0,3,
9.00495,1,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,0,0,3,
9.00498,1,19,15,5,0,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,0,0,3,
9.00499,0,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,0,0,3,
9.00501,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,0,0,3,
9.00504,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,0,0,3,
9.00506,0,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,0,9,11,0,21,25,10,0,3,
9.00507,0,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,0,21,25,10,0,3,
9.00507,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,0,21,25,10,0,3,
9.0051,0,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.0051,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00513,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00516,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00519,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00522,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00525,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00528,1,19,15,5,14,4,0,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00529,0,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00531,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00534,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.00537,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,21,25,10,0,3,
9.0054,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00543,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00546,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00549,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00552,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00555,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00558,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00561,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00564,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00567,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.0057,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00573,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00576,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00579,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00582,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00585,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00588,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00591,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00594,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,0,
9.00596,0,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00597,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.006,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00603,1,19,15,5,14,4,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00606,1,19,15,5,14,0,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
9.00609,1,19,15,5,14,0,24,13,0,18,23,0,20,22,0,0,0,17,9,11,6,0,25,10,0,3,
